id,name,hos_location,birthday,social_security,height,weight,sex,infected,alive,hospital,score,id_adm,vaccinated,bloodType,dateIntroduced
22,Pablo Franco,ICU,452469600000,(48)118964,1.54,56.0,M,1,1,Vall Hebrón,14177980,1,0,B+,975798000000
23,Tomás León,ICU,416358000000,(51)139540,1.88,76.0,M,1,0,Vall Hebrón,9073467,1,0,AB+,975798000000
24,Hugo Suárez,ICU,388274400000,(42)501149,1.98,90.0,M,1,1,Vall Hebrón,138019,1,0,A+,975798000000
25,Susana Sanchís,ICU,365551200000,(67)561963,1.541,56.0,F,1,0,Vall Hebrón,666719,1,0,A+,975798000000
26,María Rodríguez,Floor hospital,338680800000,(81)562747,1.67,67.0,F,1,1,Vall Hebrón,206015,1,0,A-,975798000000
27,Juan Calvo,Floor hospital,294530400000,(30)404913,1.58,54.0,M,1,1,La paz,194720,1,0,AB-,975798000000
28,Pablo Prieto,Floor hospital,268783200000,(76)236181,1.77,79.0,M,1,1,La paz,255385,1,0,AB-,975798000000
29,Marcos Morales,Floor hospital,243468000000,(29)991859,2.16,127.0,M,1,1,La paz,1033318,1,0,0+,975798000000
30,Felix Lozano,Floor hospital,212277600000,(69)584769,1.35,50.0,M,1,1,La paz,206141,1,0,0-,975798000000
31,Tomás López,Floor hospital,177976800000,(45)366578,1.89,82.0,M,1,1,Puerta de hierro,1104382,1,0,0+,975798000000
32,Nerea Prieto,Floor hospital,130028400000,(25)214202,1.94,95.0,F,1,0,Puerta de hierro,14282865,1,0,0+,975798000000
33,Pablo  Ortega,Floor hospital,104281200000,(47)682736,1.93,92.0,M,1,1,Puerta de hierro,14261044,1,0,0-,975798000000
34,Hugo Otero,Floor hospital,63586800000,(69)130502,1.82,120.0,M,1,1,Puerta de hierro,15106846,1,0,0-,975798000000
35,Emilia Franco,Floor hospital,43282800000,(36)871092,1.83,89.0,F,1,1,Puerta de hierro,903736,1,0,0-,975798000000
36,Eva Ruíz,Floor hospital,1119600000,(29)164417,1.86,90.0,F,1,1,Puerta de hierro,285080,1,0,AB+,975798000000
37,Hugo García,Home,-5619600000,(47)985624,1.79,80.0,M,1,0,La paz,455854,1,0,AB+,975798000000
38,Antonio Largo Caballero,Home,-36550800000,(39)233109,1.76,75.0,M,1,1,La paz,261016,1,0,B+,975798000000
39,Gonzalo Sanchís,Home,-73962000000,(72)769764,1.74,73.5,M,1,1,La paz,14161322,1,0,B-,975798000000
40,Elena Alonso,Home,-116470800000,(91)163998,1.72,72.7,F,1,1,La paz,25787922,1,0,B-,975798000000
41,Carolina Ruíz,Home,-148352400000,(58)677041,1.72,77.8,F,1,1,Teknon de Barcelona,304346,1,0,B-,975798000000
42,Hugo Gil,Home,-172803600000,(60)862739,1.76,76.8,M,1,1,Teknon de Barcelona,14161322,1,0,B-,975798000000
43,Raúl Pérez,Home,-201747600000,(68)826596,1.65,65.5,M,1,1,Teknon de Barcelona,14100657,1,0,A+,975798000000
44,Olga Gil,Home,-246243600000,(85)467579,2.01,120.0,F,1,1,Teknon de Barcelona,13969742,1,0,A-,975798000000
45,Rosa Alonso,Home,-256698000000,(18)673357,2.07,121.2,F,1,1,Teknon de Barcelona,102305,1,0,A-,975798000000
46,Pablo Iglesias,Home,-306118800000,(86)395705,1.66,65.4,M,1,1,Teknon de Barcelona,14466603,1,0,A-,975798000000
47,Daniel Díaz,Home,-325731600000,(45)725107,1.64,54.3,M,1,1,La paz,392833,1,0,AB+,975798000000
48,Hugo Gutiérrez,Home,-352861200000,(65)553709,1.25,35.6,M,1,1,La paz,25526470,1,0,AB-,975798000000
49,Lucas Hernández,Home,-387421200000,(78)144237,1.63,68.7,M,1,1,La paz,943808,1,0,A+,975798000000
50, Inés Anchuela,Home,-440730000000,(92)953928,1.55,54.3,F,1,1,La paz,500103,1,0,A-,975798000000
51,Carolina García,ICU,-472093200000,(21)230679,1.591,56.7,F,1,0,La paz,240089,1,0,A+,975798000000
52,Ana María Núñez,ICU,-494730000000,(66)851141,1.69,54.5,F,1,0,Denia,453912,1,0,AB+,975798000000
53,Felipe Moreno,ICU,-522118800000,(90)594306,1.5,70.0,M,1,0,La paz,572074,1,0,0+,975798000000
54,Raúl Alonso,ICU,-540608400000,(19)690044,1.49,60.0,M,1,1,La paz,25786006,1,0,0-,975798000000
55,Elena Expósito,ICU,-573699600000,(17)490071,2.12,92.0,F,1,1,Reina Sofía,1009142,1,0,0+,975798000000
56,Pablo  Ortega,ICU,-626144400000,(34)932850,2.0,88.8,M,1,1,Reina Sofía,14526608,1,0,0-,975798000000
57,Olga Sánchez,ICU,-639885600000,(88)507168,1.91,86.5,F,1,1,Reina Sofía,9272280,1,0,0+,975798000000
58,Alicia Díaz,Floor hospital,-693968400000,(73)218563,1.94,89.6,F,1,1,Reina Sofía,25803536,1,0,0-,975798000000
59,Leo Sánchez,Floor hospital,-724122000000,(19)774736,1.95,99.9,M,1,0,Reina Sofía,255890,1,0,0+,975798000000
60,Felipe León,Floor hospital,-730774800000,(42)790677,1.87,190.0,M,1,0,La paz,1250813,1,0,0-,975798000000
61,Rosa Moreno,Floor hospital,-769485600000,(19)270927,1.88,81.1,F,1,1,La paz,811004,1,0,0+,975798000000
62, Inés Fernández,Floor hospital,-818557200000,(13)218462,1.83,72.1,F,1,1,La paz,8387857,1,0,AB+,975798000000
63,Carla Ramos,Floor hospital,-843267600000,(53)599581,1.82,91.4,F,1,1,Vall Hebrón,1128425,1,0,AB-,975798000000
64,Juan Jiménez,Floor hospital,-856141200000,(36)328480,1.75,61.2,M,1,1,Denia,464909,1,0,AB+,975798000000
65,Leo Castro,Floor hospital,-892774800000,(57)429355,1.79,83.6,M,1,1,Infanta Sofía,837645,1,0,AB+,975798000000
66,Ana María Ruíz,Home,-944524800000,(96)757622,1.77,89.1,F,1,1,Infanta Sofía,14113701,1,0,AB-,975798000000
67,Tomás Núñez,Home,-960426000000,(25)273816,1.44,65.7,M,1,1,Vall Hebrón,25639672,1,0,AB-,975798000000
68,Eva López,Home,-994557600000,(11)536693,1.73,70.3,F,1,1,Vall Hebrón,14117892,1,0,B+,975798000000
69,Pedro Moreno,Home,-1023584400000,(70)827829,1.72,73.2,M,1,1,Vall Hebrón,267513,1,0,B+,975798000000
70,Lidia Fernández,Home,-1053820800000,(22)514477,1.87,120.0,F,1,1,La Fe,14140077,1,0,B+,975798000000
71,Jose Luís Franco,Home,-1082419200000,(33)365530,1.66,67.0,M,1,0,La Fe,8576755,1,0,B-,975798000000
72,Esteban Lozano,Home,-1114732800000,(16)136173,1.68,56.0,M,1,1,La Fe,8545025,1,0,B-,975798000000
73,Josefa Alonso,Home,-1140566400000,(58)348204,1.96,99.2,F,1,1,La Fe,171792,1,0,B-,975798000000
74,Aitor Gil,Home,-1182729600000,(35)597285,1.63,75.0,M,1,1,La Fe,462351,1,0,AB+,975798000000
75,Miriam Sanchís,Home,-1205193600000,(48)786634,1.61,56.0,F,1,1,La Fe,14278096,1,0,A+,975798000000
76,Pedro Castillo,Home,-1258588800000,(39)604234,1.62,67.0,M,1,1,La Fe,14245170,1,0,A-,975798000000
77,Pedro Ayuso,ICU,-1274144400000,(98)751738,1.55,54.0,M,1,0,Puerta de hierro,325756,1,0,A+,975798000000
78,Ana María Anchuela,ICU,-1300320000000,(22)786399,1.76,79.0,F,1,0,Puerta de hierro,25750028,1,0,A-,975798000000
79,Pablo Otero,ICU,-1340067600000,(88)429813,1.43,55.0,M,1,0,Puerta de hierro,474990,1,0,A+,975798000000
80,Emilio Martín,ICU,-1383782400000,(87)320754,1.65,50.0,M,1,0,Puerta de hierro,9524578,1,0,AB+,975798000000
81,Pedro Casillas,ICU,-1394496000000,(32)374227,1.32,54.0,M,1,0,Puerta de hierro,9629948,1,0,AB+,975798000000
82,Antonio Martínez,ICU,-1434416400000,(98)549930,1.97,95.0,M,1,0,Puerta de hierro,657732,1,0,AB+,975798000000
83,Felipe Anchuela,ICU,-1465344000000,(86)314121,1.75,92.0,M,1,1,Puerta de hierro,137866,1,0,AB-,975798000000
84,Eva Hernández,ICU,-1501545600000,(36)197249,1.85,120.0,F,1,1,La paz,1281691,1,0,0+,975798000000
85,Sara Núñez,ICU,-1529366400000,(92)542478,1.97,89.0,F,1,1,La paz,2293414,1,0,0+,975798000000
86,Sara Suárez,ICU,-1557273600000,(79)308203,1.77,90.0,F,1,1,Teknon de Barcelona,11044028,1,0,0+,975798000000
87,Olga Ramos,Floor hospital,-1607385600000,(78)820874,1.73,80.0,F,1,1,Teknon de Barcelona,400495,1,0,0+,975798000000
88,Daniel Carmona,Floor hospital,-1632009600000,(75)176800,1.72,75.0,M,1,0,Teknon de Barcelona,14257471,1,0,0+,975798000000
89,Daniel Gutiérrez,Floor hospital,-1655769600000,(47)106276,1.71,73.5,M,1,0,Teknon de Barcelona,14406592,1,0,0-,975798000000
90,Jose Martín,Floor hospital,-1698192000000,(45)447383,1.7,72.7,M,1,0,Vall Hebrón,1166750,1,0,0-,975798000000
91,Lucas Anchuela,Floor hospital,-1712016000000,(54)926467,1.65,77.8,M,1,1,La Fe,8872336,1,0,0-,975798000000
92,Jose Luís Gutiérrez,Floor hospital,-1758758400000,(72)417729,1.66,76.8,M,1,1,Infanta Sofía,1830500,1,0,0-,975798000000
93,Aitor Jiménez,Floor hospital,-1797724800000,(76)504965,1.69,65.5,M,1,1,Infanta Sofía,2469369,1,0,0-,975798000000
94,Olga Sanchís,Home,-1807920000000,(67)307667,1.65,89.0,F,1,1,Infanta Sofía,14486970,1,0,AB+,975798000000
95,Gonzalo Cano,Home,-1853798400000,(56)363765,1.65,90.0,M,1,1,La Fe,14324234,1,0,AB+,975798000000
96,Sara Otero,Home,-1884816000000,(99)498907,1.75,80.0,F,1,1,Puerta de hierro,25896066,1,0,AB+,975798000000
97,Lucas Largo Caballero,Home,-1919548800000,(25)812802,1.65,75.0,M,1,1,Puerta de hierro,25751156,1,0,A+,975798000000
98,Laura Castillo,Home,-1943740800000,(67)496440,1.65,73.5,F,1,0,La Fe,765189,1,0,B+,975798000000
99,Miriam García,Home,-1961625600000,(76)468700,1.75,72.7,F,1,0,La paz,1145868,1,0,B-,975798000000
100,Pedro Campos,Home,1070406000000,(48)109601,1.75,77.8,M,1,0,La paz,1460712,1,0,A-,975798000000
